_id,ano,mes,processo_numero,solicitacao_data,solicitacao_hora,solicitacao_descricao,solicitacao_regional,solicitacao_bairro,solicitacao_localidade,solicitacao_endereco,solicitacao_roteiro,rpa_codigo,rpa_nome,solicitacao_microrregiao,solicitacao_plantao,solicitacao_origem_chamado,latitude,longitude,solicitacao_vitimas,solicitacao_vitimas_fatais,processo_situacao,processo_tipo,processo_origem,processo_localizacao,processo_status,processo_data_conclusao
1,2024,07-julho,8041006624,2024-07-21T00:00:00,20:29,"USUÁRIA INFORMA QUE TEM UMA CONSTRUÇÃO NO LOCAL, COM RISCOS! usuária informa prédio com rachaduras na parte externa e interna, informa o cano da caixa de agua estourou e esta escorrendo  pela escada e rachaduras das paredes.",PLANICIE,AFLITOS,AFLITOS,"Rua Manuel de Carvalho , n179",próximo da entrada de visita do estádio do náuticoTelefone:99920/7838/ Antônio,3,3-NOROESTE,3.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
2,2024,05-maio,8025161024,2024-05-06T00:00:00,11:35,"USUÁRIO INFORMA QUE GOSTARIA DE UMA VISTORIA DENTRO DA COPA DO TERREO, AFUNDOU.",PLANICIE,AFLITOS,AFLITOS,RUA DA ANGUSTURA NUMERO 328,FICA AO LADO DA IGREJA CATOLICA DO ESPINHEIRO,3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
3,2024,02-fevereiro,8006243524,2024-02-06T00:00:00,11:58,"SR SOLICITA VISTORIA NUMA CONSTRUÇAO IRREGULAR NUM EDFICIO DE 16 ANDARES  QUE ESTA REALIZANDO UMA REFORMA SEM AUTORIZAÇAO E MECHENDO NA ESTRUTURA DO  LOCAL. SR NAO VAI SE IDENTIFICAR, ESTA CIENTE QUE A SEDEC PRECISA DA AUTORIZAÇAO DO PROPRIETARIO PARA REALIZAR A VISTORIA POREM INSISTE EM REGISTRAR. O MESMO JA ENTROU EM CONTATO COM A DIRCON QUE TAMBEM O ORIENTOU A ENTRAR ERM CONTATO COM A SEDEC",PLANICIE,AFLITOS,AFLITOS,RUA DO FUTURO N17,PROXIMO AO DO HABIBBIS,3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
4,2023,05-maio,8034098823,2023-05-03T00:00:00,10:29,"USUÁRIO GOSTARIA DE UMA VISTORIA NO CONDOMINIO, POIS A CAIXA D'AGUA ESTÁ COM RACHADURA E VAZANDO AGUA PARA O ULTIMO APARTAMENTO.",PLANICIE,AFLITOS,AFLITOS,"RUA FLORENTINO OLIMPIO DOS SANTOS, 329",PRÓXIMO AO CLUBE SARGENTO GOLF,3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
5,2023,02-fevereiro,8010096523,2023-02-07T00:00:00,15:07,SRA SOLICITA VISTORIA NO APARTAMENTO QUE ESTA COM INFILTRAÇOES ATINGINDO AS ILUMINAÇOES,PLANICIE,AFLITOS,AFLITOS,AV CONSELHEIRO ROSA E SILVA N955,PROXIMO DO INCRA,3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
6,2023,01-janeiro,8004913523,2023-01-24T00:00:00,06:27,SOLICITA  VISTORIA POIS VELHADO DA CASA CAIU TODO  E USUARIA TEM MEDO QUE VENHA CAIR ALGUMA OUTRA PARTE DO IMOVEL,PLANICIE,AFLITOS,AFLITOS,RUA AMAPA 65,NA RUA DA QUITANDARIA AFLITOS,3,3-NOROESTE,3.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
7,2022,03-marco,8021539222,2022-03-06T00:00:00,20:41,USUÁRIA INFORMA QUE A MARQUISE DO LOCAL ESTA COM DANOS E COM UMA POSSÍVEL QUEDA!,PLANICIE,AFLITOS,AFLITOS,"JOÃO DE BARROS N, 02",AO LADO DA GALERIA CONSELHEIRO PORTELA !AO LADO DO ETEPAM,3,3-NOROESTE,3.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
8,2022,01-janeiro,8009541022,2022-01-31T00:00:00,16:03,"USUÁRIO SOLICITA VISTORIA DE UM EDIFÍCIO , INFORMA QUE ESTÃO MUDANDO A FAIXADA DE FORMA IRREGULAR, COLOCANDO EM RISCO A VIDA DAS PESSOAS QUE PASSAM NO LOCAL/ MORADORES DA COBERTURA COLOCARAM AR/CONDICIONADO QUE PODEM CAIR, AS PEDRAS DA FAIXADA ESTÃO CAINDO E O CONDOMÍNIO NÃO ESTÁ TOMANDO AS PROVIDÊNCIAS CABÍVEIS.",PLANICIE,AFLITOS,AFLITOS,"RUA LUIZ RODOLFO DE ARAÚJO, N 81","EDIFÍCIO COUNTRY PRINCE, PRÓXIMO DO SALÃO YESHUA.USUÁRIO PEDE QUE ENTRE EM CONTATO COM ELE.",3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
9,2021,07-julho,8058937321,2021-07-05T00:00:00,15:24,USUÁRIO INFORMA QUE PREDIO ESTA COM RACHADURAS E FERRAGENS EXPOSTAS.,PLANICIE,AFLITOS,AFLITOS,AV ROSA E SILVA N 1286,EM FRENTE CANTE CLUBE,3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
10,2021,05-maio,8044307221,2021-05-14T00:00:00,18:25,"USUÁRIA SOLICITA UMA VISTORIA, ELA INFORMA QUE DEVIDO AS ULTIMAS CHUVAS A GARAGEM DO PRÉDIO ALAGOU, ELA INFORMA QUE A ÁGUA CHEGOU NOS ELEVADORES , DEIXANDO ASSIM OS MORADORES ILHADOS, SOLICITA UMA VISTORIA.",PLANICIE,AFLITOS,AFLITOS,AVENIDA CONSELHEIRO ROSA E SILVA N295,LOGO APÓS O CLUBE PORTUGUÊS.,3,3-NOROESTE,3.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
